epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5616,3.50159,3.82205,4.09211,0.00078,0.08749,0.00406,0.00088,3.63472,4.19956,4.21497,0.000366554,0.000366554,0.000366554
2,40.0472,2.86672,2.88569,3.2585,0.49215,0.34451,0.25548,0.09942,2.69766,4.51101,3.22019,0.000729593,0.000729593,0.000729593
3,58.4697,2.28902,2.34899,2.67247,0.66359,0.33233,0.35738,0.17683,2.12881,2.499,2.64871,0.0010853,0.0010853,0.0010853
4,76.1867,1.95172,1.98719,2.32786,0.77982,0.40722,0.46944,0.25542,1.98459,2.14478,2.43847,0.001078,0.001078,0.001078
5,90.3691,1.78383,1.73111,2.1132,0.84533,0.44894,0.53826,0.31071,1.82091,1.87595,2.26235,0.001067,0.001067,0.001067
6,106.925,1.62688,1.56164,1.96975,0.87759,0.44157,0.54369,0.32114,1.74429,1.95369,2.15329,0.00105601,0.00105601,0.00105601
7,123.559,1.52749,1.47808,1.8712,0.87827,0.51307,0.59873,0.38355,1.572,1.67751,2.00552,0.00104501,0.00104501,0.00104501
8,140.565,1.45754,1.37551,1.79685,0.87742,0.4902,0.58369,0.37352,1.55056,1.66217,1.96143,0.00103401,0.00103401,0.00103401
9,158.336,1.41207,1.30374,1.72834,0.90921,0.51181,0.61335,0.39032,1.51545,1.58224,1.91231,0.00102301,0.00102301,0.00102301
10,176.188,1.3816,1.25892,1.69505,0.89191,0.52971,0.62358,0.39659,1.54751,1.50315,1.92395,0.00101201,0.00101201,0.00101201
11,193.52,1.33923,1.22192,1.66909,0.87979,0.52579,0.60545,0.39964,1.51559,1.67223,1.87256,0.00100101,0.00100101,0.00100101
12,210.397,1.30053,1.16641,1.60965,0.88247,0.56199,0.64639,0.44284,1.39152,1.40303,1.78128,0.000990012,0.000990012,0.000990012
13,228.174,1.26006,1.10123,1.57536,0.9001,0.53985,0.64401,0.4275,1.43872,1.4697,1.8194,0.000979013,0.000979013,0.000979013
14,244.348,1.24948,1.08784,1.56561,0.90346,0.58253,0.66191,0.45754,1.37373,1.31073,1.7625,0.000968014,0.000968014,0.000968014
15,259.394,1.22676,1.05455,1.54468,0.91335,0.58004,0.67583,0.4595,1.36453,1.29206,1.74858,0.000957015,0.000957015,0.000957015
16,276.517,1.21369,1.02341,1.52094,0.909,0.57172,0.65961,0.44567,1.37789,1.34427,1.76203,0.000946016,0.000946016,0.000946016
17,293.381,1.18982,0.99046,1.51008,0.92655,0.58641,0.68526,0.45742,1.33442,1.22181,1.72894,0.000935018,0.000935018,0.000935018
18,310.344,1.15655,0.95623,1.48315,0.74002,0.65507,0.71063,0.48731,1.26526,1.15749,1.66943,0.000924019,0.000924019,0.000924019
19,325.82,1.16906,0.96309,1.48312,0.71763,0.65836,0.7014,0.49194,1.28055,1.16843,1.6702,0.00091302,0.00091302,0.00091302
20,343.245,1.12896,0.90916,1.44955,0.93137,0.60406,0.71389,0.49133,1.26811,1.13952,1.65386,0.000902021,0.000902021,0.000902021
21,360.25,1.12622,0.91694,1.44357,0.79854,0.6243,0.70975,0.49627,1.26216,1.18041,1.64852,0.000891022,0.000891022,0.000891022
22,377.702,1.12081,0.91817,1.44502,0.91008,0.57372,0.67325,0.44941,1.42909,1.24187,1.8082,0.000880023,0.000880023,0.000880023
23,391.438,1.08986,0.87389,1.41974,0.77088,0.64702,0.71593,0.51007,1.20853,1.09638,1.6023,0.000869024,0.000869024,0.000869024
24,405.211,1.08945,0.88386,1.42274,0.74524,0.64897,0.71754,0.49959,1.22765,1.10948,1.59677,0.000858025,0.000858025,0.000858025
25,418.916,1.08634,0.85488,1.40572,0.74739,0.68845,0.73013,0.51494,1.20261,1.02508,1.5838,0.000847026,0.000847026,0.000847026
26,432.747,1.07796,0.84508,1.39464,0.78256,0.63189,0.73452,0.51756,1.19737,1.064,1.58674,0.000836027,0.000836027,0.000836027
27,447.744,1.07535,0.85176,1.40673,0.75377,0.71744,0.73569,0.52389,1.17577,1.00484,1.56863,0.000825029,0.000825029,0.000825029
28,463.761,1.06275,0.8099,1.37727,0.7441,0.68513,0.74903,0.53302,1.17342,1.01116,1.55972,0.00081403,0.00081403,0.00081403
29,477.521,1.05143,0.80643,1.37962,0.77926,0.68682,0.7413,0.5378,1.1826,0.98195,1.56596,0.000803031,0.000803031,0.000803031
30,491.164,1.03567,0.80635,1.36349,0.77641,0.70581,0.74949,0.54405,1.16222,0.95616,1.53688,0.000792032,0.000792032,0.000792032
31,504.795,1.01166,0.77985,1.34557,0.81455,0.66643,0.7442,0.53651,1.16881,0.9658,1.54465,0.000781033,0.000781033,0.000781033
32,518.476,1.01941,0.77404,1.35363,0.82011,0.68166,0.74558,0.53873,1.16482,0.96554,1.53033,0.000770034,0.000770034,0.000770034
