epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6898,3.56664,4.36573,4.18587,0.00026,0.08019,0.00016,6e-05,3.60744,4.27344,4.17989,0.000366554,0.000366554,0.000366554
2,62.3155,3.10605,3.53379,3.49735,0.21867,0.1668,0.01117,0.00341,3.29784,inf,4.46137,0.000729593,0.000729593,0.000729593
3,85.2564,2.52091,2.65474,2.82454,0.53688,0.27493,0.23278,0.0929,2.60527,2.89153,3.17627,0.0010853,0.0010853,0.0010853
4,108.626,2.1472,2.19213,2.4599,0.762,0.38797,0.44781,0.2189,2.08766,2.3398,2.45899,0.001078,0.001078,0.001078
5,130.106,1.92097,1.88694,2.20744,0.79213,0.45876,0.49616,0.27122,1.9277,1.9559,2.31794,0.001067,0.001067,0.001067
6,151.205,1.75327,1.6814,2.03913,0.73955,0.42213,0.47047,0.2544,1.90271,2.05914,2.28374,0.00105601,0.00105601,0.00105601
7,172.421,1.65646,1.58658,1.94446,0.85966,0.45877,0.54225,0.33236,1.6975,1.84063,2.08075,0.00104501,0.00104501,0.00104501
8,193.408,1.56802,1.47302,1.87165,0.85347,0.4893,0.55546,0.32834,1.71939,1.80755,2.08656,0.00103401,0.00103401,0.00103401
9,214.262,1.50413,1.39178,1.78218,0.88329,0.51179,0.58832,0.372,1.60024,1.6178,1.96711,0.00102301,0.00102301,0.00102301
10,235.35,1.46329,1.34084,1.73354,0.90178,0.50931,0.59804,0.3919,1.55985,1.59707,1.9293,0.00101201,0.00101201,0.00101201
11,256.299,1.4321,1.31303,1.71731,0.88395,0.50966,0.59392,0.3884,1.54865,1.5768,1.89937,0.00100101,0.00100101,0.00100101
12,277.11,1.38456,1.25086,1.65449,0.89135,0.55622,0.64261,0.42896,1.46737,1.47891,1.85723,0.000990012,0.000990012,0.000990012
13,298.197,1.3355,1.18504,1.60563,0.91516,0.53207,0.6395,0.41408,1.47682,1.49641,1.82712,0.000979013,0.000979013,0.000979013
14,319.01,1.33722,1.17277,1.60842,0.89558,0.55652,0.6496,0.43279,1.43636,1.37832,1.78295,0.000968014,0.000968014,0.000968014
15,340.164,1.29291,1.12896,1.57255,0.91385,0.5624,0.66676,0.44886,1.39062,1.31367,1.75044,0.000957015,0.000957015,0.000957015
16,361.015,1.27619,1.10627,1.5487,0.92703,0.55328,0.65712,0.44165,1.42491,1.35981,1.77941,0.000946016,0.000946016,0.000946016
17,381.964,1.25208,1.08634,1.53862,0.89602,0.574,0.65928,0.44563,1.3667,1.34962,1.73959,0.000935018,0.000935018,0.000935018
18,403.209,1.22591,1.04865,1.51522,0.92149,0.5615,0.66894,0.45836,1.37134,1.26255,1.72676,0.000924019,0.000924019,0.000924019
19,424.631,1.23572,1.04621,1.51823,0.89473,0.58578,0.67575,0.46485,1.36442,1.27111,1.726,0.00091302,0.00091302,0.00091302
20,445.493,1.20167,1.00515,1.48368,0.9068,0.56965,0.67998,0.46876,1.33612,1.23911,1.69189,0.000902021,0.000902021,0.000902021
21,466.421,1.18085,0.99208,1.46883,0.89622,0.58679,0.68519,0.47421,1.32887,1.23166,1.69394,0.000891022,0.000891022,0.000891022
22,487.431,1.18543,1.00356,1.47932,0.90838,0.59025,0.68918,0.47911,1.30418,1.20773,1.65688,0.000880023,0.000880023,0.000880023
23,510.054,1.14836,0.96373,1.44307,0.92899,0.58679,0.7033,0.49102,1.26935,1.1725,1.64802,0.000869024,0.000869024,0.000869024
24,533.13,1.15368,0.9652,1.45377,0.92287,0.58151,0.71142,0.48255,1.30991,1.20728,1.6554,0.000858025,0.000858025,0.000858025
25,556.294,1.13891,0.93454,1.425,0.73656,0.66728,0.71619,0.50754,1.23706,1.10081,1.58346,0.000847026,0.000847026,0.000847026
26,581.783,1.12483,0.9231,1.41089,0.74386,0.64296,0.6983,0.49212,1.26404,1.14054,1.63417,0.000836027,0.000836027,0.000836027
27,607.438,1.12899,0.92651,1.42469,0.90398,0.59663,0.68552,0.47007,1.33174,1.18469,1.66643,0.000825029,0.000825029,0.000825029
28,632.472,1.10958,0.88001,1.39373,0.72957,0.68659,0.72626,0.50909,1.23652,1.08777,1.58392,0.00081403,0.00081403,0.00081403
29,655.979,1.09855,0.88382,1.39853,0.69787,0.66898,0.70943,0.50603,1.23171,1.1035,1.5918,0.000803031,0.000803031,0.000803031
30,679.687,1.09524,0.88509,1.38638,0.87956,0.61365,0.7124,0.49843,1.28162,1.10004,1.62802,0.000792032,0.000792032,0.000792032
31,703.681,1.07557,0.85999,1.37067,0.7212,0.679,0.72473,0.5115,1.21442,1.05688,1.57149,0.000781033,0.000781033,0.000781033
32,727.033,1.06631,0.85296,1.37348,0.72048,0.69987,0.72059,0.48841,1.2702,1.13563,1.62473,0.000770034,0.000770034,0.000770034
33,750.154,1.05385,0.83363,1.35559,0.73796,0.66227,0.73538,0.5293,1.17245,0.99126,1.53708,0.000759035,0.000759035,0.000759035
34,773.534,1.08287,0.85798,1.36644,0.737,0.68637,0.72122,0.51268,1.20586,1.06341,1.55372,0.000748036,0.000748036,0.000748036
35,796.841,1.06321,0.84345,1.36838,0.75355,0.67529,0.73498,0.52849,1.1717,0.98224,1.52997,0.000737037,0.000737037,0.000737037
36,821.92,1.07443,0.83266,1.35035,0.79308,0.6772,0.74872,0.53631,1.1737,0.96986,1.52447,0.000726038,0.000726038,0.000726038
37,847.915,1.03015,0.8191,1.33379,0.71302,0.63237,0.74255,0.53095,1.17353,1.0015,1.52442,0.00071504,0.00071504,0.00071504
38,873.569,1.02363,0.79785,1.33679,0.77173,0.6842,0.74204,0.53237,1.17832,0.94268,1.53036,0.000704041,0.000704041,0.000704041
39,899.645,1.03092,0.80489,1.33364,0.71172,0.69922,0.73207,0.52212,1.18684,0.99133,1.5387,0.000693042,0.000693042,0.000693042
40,925.446,1.0319,0.79215,1.33204,0.70213,0.70888,0.74165,0.54162,1.14717,0.96303,1.50947,0.000682043,0.000682043,0.000682043
41,953.05,1.0011,0.78148,1.31443,0.75783,0.71661,0.75159,0.54919,1.13205,0.96107,1.49044,0.000671044,0.000671044,0.000671044
42,982.73,1.02231,0.79388,1.32301,0.84462,0.719,0.77033,0.55623,1.14395,0.92573,1.50825,0.000660045,0.000660045,0.000660045
43,1011.99,0.99988,0.76135,1.3138,0.82025,0.69587,0.74748,0.54871,1.13691,0.94568,1.49109,0.000649046,0.000649046,0.000649046
44,1041.86,0.99421,0.77995,1.31333,0.78133,0.703,0.75367,0.54687,1.1315,0.91182,1.48615,0.000638047,0.000638047,0.000638047
