epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.108,4.03399,4.63447,3.26868,0.12722,0.04541,0.01794,0.0048,3.21815,2.96399,2.08668,0.00333024,0.00333024,0.00333024
2,352.801,2.72769,2.87311,1.88475,0.08847,0.13396,0.06905,0.02593,2.43256,2.21046,1.59028,0.00659761,0.00659761,0.00659761
3,501.618,2.29093,2.37663,1.57079,0.25256,0.14819,0.09922,0.0468,2.03853,1.98783,1.39565,0.00979897,0.00979897,0.00979897
4,650.334,2.07722,2.10435,1.43276,0.26888,0.14866,0.12152,0.05687,1.95613,1.75433,1.32457,0.009703,0.009703,0.009703
5,830.185,1.94537,1.93283,1.36156,0.20298,0.18429,0.14157,0.06869,1.84944,1.65006,1.2755,0.009604,0.009604,0.009604
6,1121.42,1.87535,1.82897,1.31965,0.23163,0.19308,0.15124,0.07721,1.74974,1.60923,1.24641,0.009505,0.009505,0.009505
7,1284.16,1.80908,1.72388,1.2894,0.25361,0.22034,0.18412,0.09427,1.69666,1.4645,1.21768,0.009406,0.009406,0.009406
8,1433.38,1.76,1.6424,1.26287,0.28755,0.22457,0.19537,0.10051,1.67171,1.43317,1.19823,0.009307,0.009307,0.009307
9,1584.68,1.72865,1.58985,1.24961,0.28534,0.23836,0.2079,0.10704,1.6232,1.37873,1.1878,0.009208,0.009208,0.009208
10,1747.54,1.70511,1.54718,1.22767,0.30884,0.24374,0.21909,0.11604,1.60745,1.36589,1.1741,0.009109,0.009109,0.009109
11,1894.75,1.68207,1.51296,1.22375,0.30981,0.25155,0.2211,0.11809,1.58046,1.36641,1.16148,0.00901,0.00901,0.00901
12,2045.09,1.65587,1.47868,1.21395,0.33823,0.25755,0.23244,0.12316,1.57015,1.3075,1.15875,0.008911,0.008911,0.008911
13,2193.76,1.63556,1.44751,1.2037,0.32017,0.26575,0.22983,0.12439,1.56905,1.31377,1.15463,0.008812,0.008812,0.008812
14,2340.75,1.62211,1.42046,1.19714,0.34624,0.27059,0.24531,0.13099,1.541,1.27276,1.14421,0.008713,0.008713,0.008713
